Player,Team ,Year,Pos,Salary,Age,Games Played,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Points
Willy Hernangomez,NYK,2017,C,"$1,435,750",22,72,0.529,0.267,0.728,502,96,41,36,100,587
Rondae Hollis-Jefferson,BRK,2017,SF,"$1,455,720",22,78,0.434,0.224,0.751,452,154,82,44,116,675
Okaro White,MIA,2017,PF,"$1,460,927",24,35,0.379,0.353,0.909,82,21,10,10,18,98
Tony Allen,MEM,2017,SG,"$1,471,382",35,71,0.461,0.278,0.615,391,98,115,29,100,643
Pat Connaughton,POR,2017,SG,"$1,471,382",24,39,0.514,0.515,0.778,52,28,6,2,17,98
Montrezl Harrell,HOU,2017,C,"$1,471,382",23,58,0.652,0.143,0.628,219,64,20,42,44,527
Richaun Holmes,PHI,2017,C,"$1,471,382",23,57,0.558,0.351,0.699,311,58,42,55,55,559
Josh Huestis,OKC,2017,PF,"$1,471,382",25,2,0.545,0.5,0,9,3,0,3,0,14
Nikola Jokic,DEN,2017,C,"$1,471,382",21,73,0.578,0.324,0.825,718,359,61,56,171,1221
Tyus Jones,MIN,2017,PG,"$1,471,382",20,60,0.414,0.356,0.767,67,156,47,5,38,209
Kevon Looney,GSW,2017,C,"$1,471,382",20,53,0.523,0.222,0.618,124,29,14,17,17,135
Jarell Martin,MEM,2017,PF,"$1,471,382",22,42,0.384,0.36,0.8,162,8,17,9,28,165
Chris McCullough,TOT,2017,PF,"$1,471,382",21,16,0.5,0.143,0.6,19,2,2,2,3,36
Salah Mejri,DAL,2017,C,"$1,471,382",30,73,0.642,0.333,0.59,308,14,32,61,40,213
Jordan Mickey,BOS,2017,PF,"$1,471,382",22,25,0.441,0,0.571,34,7,3,6,9,38
Raul Neto,UTA,2017,PG,"$1,471,382",24,40,0.451,0.323,0.889,30,34,21,5,15,100
Norman Powell,TOR,2017,SG,"$1,471,382",23,76,0.449,0.324,0.792,168,82,51,14,70,636
Willie Reed,MIA,2017,C,"$1,471,382",26,71,0.568,0.25,0.557,332,26,18,47,31,374
Josh Richardson,MIA,2017,SG,"$1,471,382",23,53,0.394,0.33,0.779,168,140,60,39,65,539
Malachi Richardson,SAC,2017,SG,"$1,504,560",21,22,0.412,0.286,0.789,23,11,5,1,8,79
DeAndre Liggins,TOT,2017,SG,"$1,505,942",28,62,0.387,0.37,0.625,108,54,47,14,42,152
Bobby Portis,CHI,2017,PF,"$1,516,320",21,64,0.488,0.333,0.661,296,35,16,11,37,437
Spencer Dinwiddie,BRK,2017,PG,"$1,524,305",23,59,0.444,0.376,0.792,164,185,44,23,66,432
Tyler Ennis,TOT,2017,PG,"$1,524,305",22,53,0.433,0.386,0.84,46,86,26,2,45,228
Jerami Grant,TOT,2017,SF,"$1,524,305",22,80,0.463,0.371,0.612,206,46,33,79,44,437
Joe Harris,BRK,2017,SG,"$1,524,305",25,52,0.425,0.385,0.714,147,54,30,8,55,428
Joffrey Lauvergne,TOT,2017,PF,"$1,524,305",25,70,0.44,0.337,0.63,251,70,25,6,56,375
Johnny O'Bryant,TOT,2017,PF,"$1,524,305",23,11,0.5,0.5,0.833,19,6,0,1,6,38
Ian Clark,GSW,2017,SG,"$1,577,230",25,77,0.487,0.374,0.759,122,90,39,8,55,527
Justin Anderson,TOT,2017,SF,"$1,579,440",23,75,0.424,0.299,0.791,245,66,41,23,66,532
Mike Dunleavy,TOT,2017,SF,"$1,600,000",36,53,0.423,0.396,0.8,115,50,15,7,28,275
Caris LeVert,BRK,2017,SF,"$1,632,480",22,57,0.45,0.321,0.72,188,110,49,8,59,468
Delon Wright,TOR,2017,PG,"$1,645,200",24,27,0.422,0.333,0.764,48,57,27,11,25,150
